id,name,default_language,logo_url,brand_color,is_active,client_slug,created_at,updated_at,supabase_uid
1,Acme Technologies,en,,,True,,2026-03-26 16:05:20.659749,2026-03-26 16:05:20.659749,
2,ABC Technologies,en,,,True,,2026-03-26 16:08:57.347938,2026-03-26 16:08:57.347938,
3,Muskan,en,,,True,,2026-04-02 07:44:51.912675,2026-04-02 07:44:51.912675,
4,New Technologies,en,,#3bf79f,True,new-tech,2026-04-06 11:21:36.371266,2026-04-06 11:21:36.371266,
5,New Tenant,en,,#3b82f6,True,new-tenant,2026-04-06 16:34:55.19774,2026-04-06 16:34:55.19774,
6,new worker,en,,#3b82f6,True,new-worker,2026-04-06 16:35:59.850664,2026-04-06 16:35:59.850664,
7,no things,en,,#3b82f6,True,no-things,2026-04-07 08:28:17.174197,2026-04-07 08:28:17.174197,
9,Esolutions1,en,,,True,esolutions1,2026-04-07 10:40:07.757298,2026-04-07 10:40:07.757298,
10,Codex Test Org,en,,,True,codex-test-org,2026-04-07 11:09:46.524161,2026-04-07 11:09:46.524161,test-uid
11,Codex Test Org Frontend,en,,,True,codex-test-org-frontend,2026-04-07 11:10:02.510459,2026-04-07 11:10:02.510459,test-uid-2
12,Codex Retry Org,en,,,True,codex-retry-org,2026-04-07 11:10:49.544629,2026-04-07 11:10:49.544629,retry-uid
8,Esolutions,en,,,True,esolutions,2026-04-07 10:32:30.22295,2026-04-07 17:50:35.929978,8a513887-d751-4ae0-82af-45045dd8443e
13,noname,en,,#3b82f6,True,noname,2026-04-07 18:05:10.138377,2026-04-07 18:05:41.341913,ec811c3f-3807-45d5-9143-27538b53dd21
