id,communication_id,attempt_number,provider_id,status,error_message,error_code,created_at
1,11,1,,failed,Voice adapter error,,2026-03-26 21:50:11.150956
2,12,1,,failed,Voice adapter error,,2026-03-26 21:51:22.023417
3,15,1,,failed,Voice service error 500,,2026-03-27 08:38:50.422609
4,16,1,,failed,Voice service error 500,,2026-03-27 08:42:39.544359
5,17,1,,failed,Auth Error - No credentials,,2026-03-27 08:46:54.392639
6,141,1,3,failed,Mailgun mime decode error,REQUEST_ERROR,2026-04-02 08:34:39.51405
512078651,175,1,3,failed,Mailgun mime decode error,REQUEST_ERROR,2026-04-02 09:06:02.904624
512163599,203,1,1,sent,,,2026-04-02 09:21:05.931265
512163600,205,1,1,sent,,,2026-04-02 09:21:11.68047
512222101,222,1,3,sent,,,2026-04-02 09:32:30.948903
512222102,223,1,3,sent,,,2026-04-02 09:32:36.699212
512222109,239,1,2,sent,,,2026-04-02 10:48:24.978768
512222112,242,1,4,sent,,,2026-04-02 17:44:52.028141
512222146,276,1,,failed,Firebase credentials not configured,NOT_CONFIGURED,2026-04-03 10:24:09.225932
512222147,277,1,2,sent,,,2026-04-03 10:44:03.02213
512222151,281,1,,delivered,,,2026-04-03 10:50:37.018502
512222154,284,1,3,failed,Mailgun 403 Free account,MAILGUN_403,2026-04-06 07:41:28.316592
512222155,285,1,3,sent,,,2026-04-06 07:46:53.411612
512222157,287,1,4,failed,Unverified number,21608,2026-04-06 08:01:16.899366
512222181,311,1,1,sent,,,2026-04-07 08:42:36.145654
