id,template_id,provider_id,provider_template_id,is_active,created_at
1,1,2,WA_TMPL_WELCOME_T1,True,2026-03-29 06:42:09.187742
2,2,2,WA_TMPL_INTERVIEW_T1,True,2026-03-29 06:42:09.187742
3,3,2,WA_TMPL_PAYSLIP_T1,True,2026-03-29 06:42:09.187742
4,4,2,WA_TMPL_LEAVE_T1,True,2026-03-29 06:42:09.187742
5,5,2,WA_TMPL_CONFIRM_T1,True,2026-03-29 06:42:09.187742
6,6,1,VOICE_TMPL_WELCOME_T1,True,2026-03-29 06:42:09.187742
7,7,1,VOICE_TMPL_INTERVIEW_T1,True,2026-03-29 06:42:09.187742
8,8,1,VOICE_TMPL_CONFIRM_T1,True,2026-03-29 06:42:09.187742
9,9,3,EMAIL_TMPL_WELCOME_T1,True,2026-03-29 06:42:09.187742
10,10,3,EMAIL_TMPL_INTERVIEW_T1,True,2026-03-29 06:42:09.187742
11,11,3,EMAIL_TMPL_PAYSLIP_T1,True,2026-03-29 06:42:09.187742
12,12,2,WA_TMPL_WELCOME_T2,True,2026-03-29 06:42:09.187742
13,13,2,WA_TMPL_INTERVIEW_T2,True,2026-03-29 06:42:09.187742
14,14,2,WA_TMPL_CONFIRM_T2,True,2026-03-29 06:42:09.187742
15,15,1,VOICE_TMPL_WELCOME_T2,True,2026-03-29 06:42:09.187742
16,16,1,VOICE_TMPL_INTERVIEW_T2,True,2026-03-29 06:42:09.187742
17,17,3,EMAIL_TMPL_WELCOME_T2,True,2026-03-29 06:42:09.187742
18,18,3,EMAIL_TMPL_INTERVIEW_T2,True,2026-03-29 06:42:09.187742
